sample_name	canine_atopic_dermatitis_extent_and_severity_index_4	collection_timestamp	description	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_product	host_body_site	host_common_name	host_health_status	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	household_id	latitude	longitude	oclacitinib	pruritus_visual_analog_scale	qiita_study_id	sample_type	scientific_name	sex	taxid
13434.A21A	11	2016-07-09	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Mudersbach	5	years	UBERON:skin	UBERON:sebum	axilla	German Shepherd dog	allergic	Canis lupus familiaris	21	9615	38	kilograms	13	50.826640	7.948740	received	2	13434	skin	skin metagenome	male castrated	1338477
13434.A21INT	11	2016-07-09	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Mudersbach	5	years	UBERON:skin	UBERON:sebum	interdigital	German Shepherd dog	allergic	Canis lupus familiaris	21	9615	38	kilograms	13	50.826640	7.948740	received	0	13434	skin	skin metagenome	female	1338477
13434.A21L	11	2016-07-09	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Mudersbach	5	years	UBERON:skin	UBERON:sebum	groin	German Shepherd dog	allergic	Canis lupus familiaris	21	9615	38	kilograms	13	50.826640	7.948740	received	8	13434	skin	skin metagenome	female	1338477
13434.A21O	11	2016-07-09	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Mudersbach	5	years	UBERON:skin	UBERON:sebum	ear canal	German Shepherd dog	allergic	Canis lupus familiaris	21	9615	38	kilograms	13	50.826640	7.948740	received	7	13434	skin	skin metagenome	female	1338477
13434.A22A	4	2016-07-12	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Niederkassel	2	years	UBERON:skin	UBERON:sebum	axilla	German Shepherd dog	allergic	Canis lupus familiaris	22	9615	27.5	kilograms	14	50.812380	7.039120	did not receive	0	13434	skin	skin metagenome	male castrated	1338477
13434.A22INT	4	2016-07-12	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Niederkassel	2	years	UBERON:skin	UBERON:sebum	interdigital	German Shepherd dog	allergic	Canis lupus familiaris	22	9615	27.5	kilograms	14	50.812380	7.039120	did not receive	0	13434	skin	skin metagenome	male	1338477
13434.A22L	4	2016-07-12	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Niederkassel	2	years	UBERON:skin	UBERON:sebum	groin	German Shepherd dog	allergic	Canis lupus familiaris	22	9615	27.5	kilograms	14	50.812380	7.039120	did not receive	0	13434	skin	skin metagenome	male	1338477
13434.A22O	4	2016-07-12	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Niederkassel	2	years	UBERON:skin	UBERON:sebum	ear canal	German Shepherd dog	allergic	Canis lupus familiaris	22	9615	27.5	kilograms	14	50.812380	7.039120	did not receive	0	13434	skin	skin metagenome	female	1338477
13434.A24A	5	2016-07-13	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Freudenberg	3	years	UBERON:skin	UBERON:sebum	axilla	German Shepherd dog	allergic	Canis lupus familiaris	24	9615	33	kilograms	15	50.897350	7.876370	did not receive	0	13434	skin	skin metagenome	female	1338477
13434.A24INT	5	2016-07-13	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Freudenberg	3	years	UBERON:skin	UBERON:sebum	interdigital	German Shepherd dog	allergic	Canis lupus familiaris	24	9615	33	kilograms	15	50.897350	7.876370	did not receive	0	13434	skin	skin metagenome	female	1338477
13434.A24L	5	2016-07-13	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Freudenberg	3	years	UBERON:skin	UBERON:sebum	groin	German Shepherd dog	allergic	Canis lupus familiaris	24	9615	33	kilograms	15	50.897350	7.876370	did not receive	0	13434	skin	skin metagenome	male	1338477
13434.A24O	5	2016-07-13	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Freudenberg	3	years	UBERON:skin	UBERON:sebum	ear canal	German Shepherd dog	allergic	Canis lupus familiaris	24	9615	33	kilograms	15	50.897350	7.876370	did not receive	0	13434	skin	skin metagenome	male	1338477
13434.A27A	2	2016-07-13	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Kirchhain	4	years	UBERON:skin	UBERON:sebum	axilla	German Shepherd dog	allergic	Canis lupus familiaris	27	9615	33	kilograms	16	50.819030	8.918060	did not receive	0	13434	skin	skin metagenome	female sprayed	1338477
13434.A27INT	2	2016-07-13	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Kirchhain	4	years	UBERON:skin	UBERON:sebum	interdigital	German Shepherd dog	allergic	Canis lupus familiaris	27	9615	33	kilograms	16	50.819030	8.918060	did not receive	0	13434	skin	skin metagenome	male	1338477
13434.A27L	2	2016-07-13	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Kirchhain	4	years	UBERON:skin	UBERON:sebum	groin	German Shepherd dog	allergic	Canis lupus familiaris	27	9615	33	kilograms	16	50.819030	8.918060	did not receive	0	13434	skin	skin metagenome	female	1338477
13434.A27O	2	2016-07-13	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Kirchhain	4	years	UBERON:skin	UBERON:sebum	ear canal	German Shepherd dog	allergic	Canis lupus familiaris	27	9615	33	kilograms	16	50.819030	8.918060	did not receive	0	13434	skin	skin metagenome	male	1338477
13434.A9A	0	2016-04-20	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Offenbach	6	years	UBERON:skin	UBERON:sebum	axilla	German Shepherd dog	allergic	Canis lupus familiaris	9	9615	43	kilograms	9	49.624222	7.550560	received	0	13434	skin	skin metagenome	male	1338477
13434.A9INT	0	2016-04-28	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Erlensee	6	years	UBERON:skin	UBERON:sebum	interdigital	German Shepherd dog	allergic	Canis lupus familiaris	9	9615	43	kilograms	9	50.163380	8.978340	received	8	13434	skin	skin metagenome	female	1338477
13434.A9L	0	2016-04-20	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Offenbach	6	years	UBERON:skin	UBERON:sebum	groin	German Shepherd dog	allergic	Canis lupus familiaris	9	9615	43	kilograms	9	49.624222	7.550560	received	5	13434	skin	skin metagenome	female	1338477
13434.A9O	0	2016-04-20	dog skin microbiome	Host-associated	Animal-associated	Animal surface	urban biome	animal-associated habitat	sebum	host-associated	Germany: Offenbach	6	years	UBERON:skin	UBERON:sebum	ear canal	German Shepherd dog	allergic	Canis lupus familiaris	9	9615	43	kilograms	9	49.624222	7.550560	received	4	13434	skin	skin metagenome	female	1338477
